PCA 1,PCA 2,mpg,cylinders,displacement,horsepower,weight,acceleration,model-year,origin,car-name
2.7411701352130877,0.9590175569187173,18.0,8,307.0,130.0,3504.0,12.0,70,1,"""chevrolet chevelle malibu"""
3.56281538857762,1.0649678518670966,15.0,8,350.0,165.0,3693.0,11.5,70,1,"""buick skylark 320"""
3.056284440211892,1.1737499696613294,18.0,8,318.0,150.0,3436.0,11.0,70,1,"""plymouth satellite"""
3.001626482621391,1.0553167851183396,16.0,8,304.0,150.0,3433.0,12.0,70,1,"""amc rebel sst"""
2.9922399505722024,1.2471876977796188,17.0,8,302.0,140.0,3449.0,10.5,70,1,"""ford torino"""
4.674118424921212,1.1348796578905151,15.0,8,429.0,198.0,4341.0,10.0,70,1,"""ford galaxie 500"""
5.154148235865094,1.3277442658779368,14.0,8,454.0,220.0,4354.0,9.0,70,1,"""chevrolet impala"""
5.074259848590233,1.4175539704754825,14.0,8,440.0,215.0,4312.0,8.5,70,1,"""plymouth fury iii"""
5.147660858181572,1.1690252796657894,14.0,8,455.0,225.0,4425.0,10.0,70,1,"""pontiac catalina"""
4.345315505518611,1.5116274209168035,15.0,8,390.0,190.0,3850.0,8.5,70,1,"""amc ambassador dpl"""
3.8292369882276263,1.303675016938492,15.0,8,383.0,170.0,3563.0,10.0,70,1,"""dodge challenger se"""
3.816793063252974,1.6317584061540644,14.0,8,340.0,160.0,3609.0,8.0,70,1,"""plymouth 'cuda 340"""
3.832418026146007,1.254541195614916,15.0,8,400.0,150.0,3761.0,9.5,70,1,"""chevrolet monte carlo"""
4.510406721361715,1.502861470848545,14.0,8,455.0,225.0,3086.0,10.0,70,1,"""buick estate wagon (sw)"""
-1.1655500230544344,2.4312926561772543,24.0,4,113.0,95.0,2372.0,15.0,70,3,"""toyota corona mark ii"""
0.6128347700769651,0.7340246683955932,22.0,6,198.0,95.0,2833.0,15.5,70,1,"""plymouth duster"""
0.8075094712142976,0.7898861290133101,18.0,6,199.0,97.0,2774.0,15.5,70,1,"""amc hornet"""
0.40159734953065584,0.6967868803357407,21.0,6,200.0,85.0,2587.0,16.0,70,1,"""ford maverick"""
-1.5178811255226587,2.540157973273298,27.0,4,97.0,88.0,2130.0,14.5,70,3,"""datsun pl510"""
-2.2744734727013785,0.9449966536282406,26.0,4,97.0,46.0,1835.0,20.5,70,2,"""volkswagen 1131 deluxe sedan"""
-1.0612919465333366,1.3085113114196667,25.0,4,110.0,87.0,2672.0,17.5,70,2,"""peugeot 504"""
-0.8195870180332094,1.8521205986701388,24.0,4,107.0,90.0,2430.0,14.5,70,2,"""audi 100 ls"""
-1.1437907962378013,1.4123268915659914,25.0,4,104.0,95.0,2375.0,17.5,70,2,"""saab 99e"""
-0.5251761493054419,2.2394290515693256,26.0,4,121.0,113.0,2234.0,12.5,70,2,"""bmw 2002"""
0.5745392473099984,0.8509612967194814,21.0,6,199.0,90.0,2648.0,15.0,70,1,"""amc gremlin"""
4.567137222304006,0.6259010168206958,10.0,8,360.0,215.0,4615.0,14.0,70,1,"""ford f250"""
3.98932749145727,0.5514237130643664,10.0,8,307.0,200.0,4376.0,15.0,70,1,"""chevy c20"""
4.234573927858667,0.7871871752034088,11.0,8,318.0,210.0,4382.0,13.5,70,1,"""dodge d200"""
3.787322802193652,-0.08355931617504855,9.0,8,304.0,193.0,4732.0,18.5,70,1,"""hi 1200d"""
-1.57590813561669,2.3549301477166167,27.0,4,97.0,88.0,2130.0,14.5,71,3,"""datsun pl510"""
-0.7722369844527752,0.8440674041437219,28.0,4,140.0,90.0,2264.0,15.5,71,1,"""chevrolet vega 2300"""
-1.2455097259870698,2.426822841244973,25.0,4,113.0,95.0,2228.0,14.0,71,3,"""toyota corona"""
-1.0822916896691621,0.4774142540387767,25.0,4,98.0,,2046.0,19.0,71,1,"""ford pinto"""
1.0370177033045183,0.9850418590884448,19.0,6,232.0,100.0,2634.0,13.0,71,1,"""amc gremlin"""
1.3521342432074914,0.4492207720727696,16.0,6,225.0,105.0,3439.0,15.5,71,1,"""plymouth satellite custom"""
1.2987034522810117,0.42381522819085843,17.0,6,250.0,100.0,3329.0,15.5,71,1,"""chevrolet chevelle malibu"""
1.0624848767707642,0.37817939248383303,19.0,6,250.0,88.0,3302.0,15.5,71,1,"""ford torino 500"""
1.157512735440424,0.44610072896085456,18.0,6,232.0,100.0,3288.0,15.5,71,1,"""amc matador"""
3.751814487839494,0.6832462801001579,14.0,8,350.0,165.0,4209.0,12.0,71,1,"""chevrolet impala"""
4.225341342731617,0.6660794358920215,14.0,8,400.0,175.0,4464.0,11.5,71,1,"""pontiac catalina brougham"""
3.461132813777537,0.43070982556649956,14.0,8,351.0,153.0,4154.0,13.5,71,1,"""ford galaxie 500"""
3.318173063885711,0.5525889907950476,14.0,8,318.0,150.0,4096.0,13.0,71,1,"""plymouth fury iii"""
4.541678456316465,0.5962248355444618,12.0,8,383.0,180.0,4955.0,11.5,71,1,"""dodge monaco (sw)"""
4.309185976217555,0.5137433219587026,13.0,8,400.0,170.0,4746.0,12.0,71,1,"""ford country squire (sw)"""
4.548514324299009,0.4296948826696347,13.0,8,400.0,175.0,5140.0,12.0,71,1,"""pontiac safari (sw)"""
1.4024554821755009,0.8331225213266593,18.0,6,258.0,110.0,2962.0,13.5,71,1,"""amc hornet sportabout (sw)"""
-0.9295820901832462,0.27302230281673384,22.0,4,140.0,72.0,2408.0,19.0,71,1,"""chevrolet vega (sw)"""
